;Special Character Removal;Number Removal;URL and E-Mail Removal;Stopword Removal;Lowercase;Stemming;Lemmatization;Unique Words;Accuracy
62;0.0;1.0;1.0;1.0;1.0;0.0;1.0;79306.0;0.6907859798194371
63;0.0;1.0;0.0;1.0;1.0;0.0;1.0;84274.0;0.6906532129580457
64;0.0;1.0;1.0;0.0;1.0;0.0;1.0;79381.0;0.6906532129580457
65;0.0;1.0;0.0;0.0;1.0;0.0;1.0;84349.0;0.6901221455124801
66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;161660.0;0.6898566117896973
67;0.0;1.0;0.0;1.0;0.0;0.0;1.0;102624.0;0.6898566117896973
68;1.0;1.0;1.0;1.0;0.0;0.0;0.0;84539.0;0.6895910780669146
69;1.0;1.0;1.0;0.0;0.0;0.0;0.0;84725.0;0.6894583112055231
70;0.0;0.0;0.0;1.0;0.0;0.0;0.0;161481.0;0.6894583112055231
71;0.0;1.0;0.0;0.0;0.0;0.0;1.0;102785.0;0.6891927774827403
72;0.0;1.0;1.0;1.0;0.0;0.0;1.0;96914.0;0.6890600106213489
73;0.0;1.0;1.0;0.0;0.0;0.0;1.0;97075.0;0.6887944768985661
74;0.0;0.0;1.0;0.0;0.0;0.0;0.0;151197.0;0.6879978757302178
75;0.0;0.0;1.0;1.0;0.0;0.0;0.0;151018.0;0.6878651088688263
76;0.0;1.0;0.0;0.0;0.0;0.0;0.0;107861.0;0.6875995751460435
77;0.0;1.0;0.0;1.0;0.0;0.0;0.0;107682.0;0.6872012745618693
78;0.0;1.0;1.0;0.0;0.0;0.0;0.0;102128.0;0.6860063728093467
79;0.0;1.0;1.0;1.0;0.0;0.0;0.0;101949.0;0.6854753053637812
